town,adj_factor_gnews,adj_factor_gtrend,adj_factor_econ
ANG MO KIO,-0.03,-0.00102,0.018432
BEDOK,0.02829,-0.009837,0.018432
BISHAN,0.024489,-0.010812,0.018432
BUKIT BATOK,0.014546,-0.006762,0.018432
BUKIT MERAH,0.026609,-0.025313,0.018432
BUKIT PANJANG,0.02411,-0.014733,0.018432
BUKIT TIMAH,0.027575,0.003108,0.018432
CENTRAL AREA,0.022978,-0.00899,0.018432
CHOA CHU KANG,0.021361,-0.010436,0.018432
CLEMENTI,0.026924,-0.001301,0.018432
GEYLANG,0.025375,-0.005149,0.018432
HOUGANG,0.026852,-0.014929,0.018432
JURONG EAST,0.0214,-0.010841,0.018432
JURONG WEST,0.015623,-0.015469,0.018432
KALLANG/WHAMPOA,0.028781,-0.004272,0.018432
LIM CHU KANG,0.023973,,0.018432
MARINE PARADE,0.024076,-0.01188,0.018432
PASIR RIS,0.020793,9.6e-05,0.018432
PUNGGOL,0.023948,-0.018967,0.018432
QUEENSTOWN,0.03,0.03,0.018432
SEMBAWANG,0.027622,0.004961,0.018432
SENGKANG,0.028299,-0.025691,0.018432
SERANGOON,0.026301,0.000176,0.018432
TAMPINES,0.017517,-0.012853,0.018432
TENGAH,,-0.03,0.018432
TOA PAYOH,0.023481,-0.002174,0.018432
WOODLANDS,0.023312,-0.014789,0.018432
YISHUN,0.022468,-0.01141,0.018432
