month,HDB Resale Index ,Unemployment Index,GDP Index,CPI Index,Rental Index 
2024-10,100,7.6,51.68,100,93.5
2024-07,96.16,10.9,54.05,99.74,93.5
2024-04,92.31,30.7,45.94,98.72,92.22
2024-01,89.09,14.2,45.94,97.36,93.5
2023-10,86.55,10.9,44.59,96.23,96.55
2023-07,85.09,14.2,40.87,94,100
2023-04,83.32,30.7,39.18,91.51,98.72
2023-01,81.32,4.3,38.17,88.98,94.39
2022-10,80.02,10.9,45.94,85.92,83.84
2022-07,77.09,17.5,51.34,83.59,73.8
2022-04,73.87,37.3,52.7,78.8,63.06
2022-01,70.48,17.5,52.02,73.96,55.18
2021-10,67.56,20.8,63.17,69.96,50.45
2021-07,63.64,34,67.9,66.26,47.59
2021-04,60.42,63.7,90.88,64.91,45.62
2021-01,57.19,37.3,49.99,63.26,42.57
2020-10,54.04,43.9,33.77,61.41,40.3
2020-07,50.81,57.1,21.61,60.5,40.21
2020-04,49.27,76.9,1,59.62,40.7
2020-01,48.96,24.1,40.53,61.48,41.98
2019-10,48.96,17.5,38.84,61.64,40.9
2019-07,48.5,17.5,37.15,61.11,41.98
2019-04,48.42,50.5,40.19,61.24,41.88
2019-01,48.58,17.5,39.86,60.62,40.5
2018-10,48.89,14.2,42.56,60.18,39.52
2018-07,49.04,14.2,45.94,60.29,40.5
2018-04,49.12,40.6,50.33,59.44,40.21
2018-01,49.04,14.2,51.34,59.47,39.22
2017-10,49.81,10.9,47.97,59.06,38.93
2017-07,49.96,14.2,53.37,58.69,39.81
2017-04,50.65,47.2,47.97,58.69,39.81
2017-01,50.81,20.8,48.98,58.92,40.01
2016-10,51.35,14.2,51.34,58.01,40.9
2016-07,51.42,10.9,43.24,57.67,41.98
2016-04,51.42,43.9,42.9,56.94,43.26
2016-01,51.42,10.9,43.91,57.49,43.85
2015-10,51.5,4.3,39.18,57.95,45.23
2015-07,51.35,7.6,45.6,58.55,46.61
2015-04,51.65,37.3,44.25,59.04,47.3
2015-01,52.11,7.6,43.91,59.42,48.48
2014-10,53.19,4.3,49.66,59.62,50.35
2014-07,54.8,7.6,47.97,59.98,51.44
2014-04,56.65,37.3,47.29,60,52.32
2014-01,58.19,14.2,50.67,60.16,53.01
2013-10,59.95,4.3,54.39,59.69,53.8
2013-07,61.72,4.3,57.43,57.66,54.39
2013-04,62.72,37.3,51.34,55.13,54.1
2013-01,62.11,10.9,48.64,57.88,53.8
2012-10,60.65,4.3,50.67,55.14,52.81
2012-07,57.88,7.6,42.22,53.55,52.13
2012-04,55.73,37.3,56.75,51.52,51.04
2012-01,54.34,14.2,51.01,49.12,50.75
2011-10,53.73,10.9,54.72,46.49,50.45
2011-07,51.96,10.9,62.49,44.54,49.96
2011-04,48.12,40.6,45.26,40.45,49.07
2011-01,45.04,10.9,68.24,38.91,47.69
2010-10,43.51,17.5,81.42,35.13,46.31
2010-07,41.12,10.9,71.62,33.27,43.56
2010-04,37.51,43.9,100,30.95,39.91
2010-01,34.05,20.8,90.2,28.62,34.2
2009-10,31.67,20.8,57.09,27.29,29.86
2009-07,28.59,47.2,43.91,26.66,29.37
2009-04,25.83,86.8,30.73,24.98,31.34
2009-01,24.75,50.5,9.11,26.8,36.46
2008-10,25.37,30.7,25.67,28.77,45.62
2008-07,24.29,14.2,37.49,27.29,51.73
2008-04,21.22,43.9,49.66,24.65,52.72
2008-01,18.06,10.9,67.23,20.43,49.86
2007-10,15.53,4.3,56.41,17.92,43.56
2007-07,11.84,1,70.27,15.09,36.86
2007-04,7.92,47.2,66.21,10.97,26.71
2007-01,6.15,34,62.49,8.56,18.34
2006-10,5.46,37.3,63.85,10.26,12.72
2006-07,4.92,30.7,63.85,9.44,8.98
2006-04,5,63.7,64.18,8.93,5.63
2006-01,4.46,24.1,69.59,8.78,4.15
2005-10,4.38,37.3,66.21,9.19,3.46
2005-07,4.15,47.2,63.85,8.14,3.07
2005-04,4.38,90.1,56.08,6.83,2.58
2005-01,7.23,43.9,54.05,6.38,2.18
2004-10,7.15,57.1,61.14,7.24,1.59
2004-07,6.53,37.3,62.83,7.32,1.2
2004-04,6.46,96.7,81.42,6.73,1
2004-01,5.77,57.1,68.24,5.92,1
2003-10,5.61,83.5,64.86,4.34,1.39
2003-07,5,86.8,52.36,4.01,1.59
2003-04,3.61,100,33.77,3.44,2.18
2003-01,2.46,57.1,48.64,3.78,3.27
2002-10,1.61,80.2,56.41,3.21,4.74
2002-07,1.61,53.8,58.44,3.19,5.33
2002-04,1.08,90.1,48.3,3.18,4.84
2002-01,1,50.5,31.75,2.61,4.84
2001-10,1.38,80.2,18.57,2.94,5.73
2001-07,2.15,30.7,18.91,3.94,6.71
2001-04,3.31,40.6,38.51,3.92,7.3
2001-01,4.15,4.3,54.05,4.13,7.5
2000-10,6.15,30.7,68.24,3.28,7.7
2000-07,7.53,4.3,67.23,2.47,10.06
2000-04,8.84,96.7,61.14,1,8.78
2000-01,9.61,27.4,63.85,1.19,7.5
